No	Title	Work GND ID	Work Wikidata ID	Goodreads work ID (Wikibased)	Author	Author GND ID	Author Wikidata ID	Publication Date	Voters
32	The God of Small Things	4595927-4	Q378786	810135	Arundhati Roy	115693424	Q212801	1997	Nadifa Mohamed,Yagnishsing Dawoor,Jack Edwards,Uzma Aslam Khan,Nina Stibbe,Diana Evans,Charlotte Northedge,Emma Loffhagen,Saba Sams,Daisy Johnson
31	The Prime of Miss Jean Brodie	4313606-0	Q2074335	6132856	Muriel Spark	118798197	Q233956	1961	John Self,Fiona Sturges,Sinéad Gleeson,Ali Smith,David Nicholls,Lisa Allardice,Liese Spencer,Damian Barr,Saba Sams,Ian Rankin
30	Frankenstein	4220200-0	Q150827	4836639	Mary Shelley	11879695X	Q47152	1818	Alberto Manguel,Chloe Aridjis,Fiona Sampson,Steven Poole,Beejay Silcox,Sian Cain,Lucas Rijneveld,Kate Mosse,Katherine Rundell,Arifa Akbar
29	Pale Fire	4579298-7	Q1229792	1222661	Vladimir Nabokov	118586114	Q36591	1962	Nina Allan,Steven Poole,Elif Batuman,William Boyd,Jeet Thayil,Alex Needham,Xan Brooks,Houman Barekat,Sarah Crown,RF Kuang
28	The Brothers Karamazov	4198690-8	Q183157	3393910	Fyodor Dostoyevsky	118527053	Q991	1879	Chris Power,Yan Lianke,Chloe Aridjis,Steven Poole,Douglas Stuart,Katherine Rundell,Guy Gunaratne,Kieran Goddard,Ben Okri,RF Kuang
27	The Trial	4099250-0	Q36097	2965832	Franz Kafka	118559230	Q905	1925	Tanjll Rashid,Salman Rushdie,Elif Batuman,PD Smith,William Boyd,Philippe Sands,David Diop,Adam Thirlwell,Colm Tóibín,Parinoush Saniee,Alain Mabanckou
26	Don Quixote	4113209-9	Q480	121842	Miguel de Cervantes	11851993X	Q5682	1605	Alberto Manguel,Salman Rushdie,Juan Gabriel Vasquez,Yan Lianke,Chloe Aridjis,Elif Batuman,Mazen Maarouf,Claire Armitstead,Elif Shafak,Matt Haig,Ben Okri
25	Lolita	4251287-6	Q127149	1268631	Vladimir Nabokov	118586114	Q36591	1955	Merve Emre,Sam Leith,Rachel Kushner,Lucas Rijneveld,Douglas Stuart,Kevin Power,Melissa Broder,Justine Jordan,Diana Evans,Jo Hamya,Michael Donkor,Elizabeth Day,Saba Sams
24	The Remains of the Day	4465587-3	Q829934	3333111	Kazuo Ishiguro	119484978	Q272855	1989	Jon Day,Kit de Waal,John Self,Julie Myerson,Sian Cain,Yagnishsing Dawoor,Lorrie Moore,Joe Dunthorne,Laura Wilson,Sara Collins,Clare Clark,Dorian Lynskey,RF Kuang
23	Midnight's Children	4371195-9	Q625764	1024288	Salman Rushdie	118873520	Q44306	1981	Tanjll Rashid,Shahidha Bari,Rishi Dastidar,Jan Carson,Sarah Waters,Yagnishsing Dawoor,Jeet Thayil,Kathryn Hughes,Sinéad Gleeson,Justine Jordan,Sara Collins,Dinah Birch,Tahmima Anam
22	Things Fall Apart	4443314-1	Q622400	825843	Chinua Achebe	118646680	Q155845	1958	Mazen Maarouf,Sarah Waters,Adam Roberts,Claire Armitstead,Derek Owusu,Natasha Walter,Claire Messud,Ben Markovits,Susanna Rustin,Alain Mabanckou,Tahmima Anam,Diana Evans,Michael Donkor,Emma Loffhagen
21	The Portrait of a Lady	4251250-5	Q861017	1434368	Henry James	118556835	Q170509	1881	Merve Emre,Hermione Lee,Sam Leith,Pratinav Anil,Sarah Churchwell,Elif Batuman,Andrew Solomon,Lara Feigel,Geoff Dyer,Kevin Power,Ben Markovits,Charlotte Higgins,Susanna Rustin,David Nicholls,Lisa Allardice,Jem Calder
20	Wuthering Heights	4136057-6	Q202975	1565818	Emily Brontë	118638017	Q80137	1847	Eimear McBride,John Boyne,Nina Allan,Shahidha Bari,Sarah Churchwell,Samantha Ellis,Jan Carson,Joanne Harris,Julie Myerson,William Boyd,Siri Hustvedt,Kate Mosse,Matt Haig,Arifa Akbar,Doireann Ní Ghríofa
19	The Life and Opinions of Tristram Shandy, Gentleman	4099376-0	Q1164083	2280279	Laurence Sterne	11861794X	Q218960	1759	Sam Leith,Sandra Newman,Rishi Dastidar,Blake Morrison,John Mullan,Ian Patterson,William Boyd,Colum McCann,Sarah Bakewell,Sukhdev Sandhu,Adam Thirlwell,Jennifer Egan,Nina Stibbe,Charlotte Higgins,Stuart Kelly,Alexandra Harris,Liese Spencer
18	Persuasion	4386990-7	Q333179	2534720	Jane Austen	118505173	Q36322	1817	Freya Johnston,Amanda Craig,Sarah Moss,Shahidha Bari,Samantha Ellis,Olivia Laing,Yiyun Li,Lisa Tuttle,Tessa Hadley,Justine Jordan,Dinah Birch,Tahmima Anam,David Nicholls,Lisa Allardice,Charlotte Northedge,Jem Calder,Lily King
17	One Hundred Years of Solitude	4123253-7	Q178869	3295655	Gabriel García Márquez	118537601	Q5878	1967	Alberto Manguel,Salman Rushdie,Juan Gabriel Vasquez,Sarah Waters,Yagnishsing Dawoor,Claire Armitstead,Jeet Thayil,David Diop,Elif Shafak,Ahdaf Soueif,Richard Osman,Valeria Luiselli,Colm Tóibín,Parinoush Saniee,Ben Okri,Michael Donkor,RF Kuang,Daisy Johnson
16	Nineteen Eighty-Four	4099325-5	Q208460	153313	George Orwell	118590359	Q3335	1949	Meg Rosoff,Alberto Manguel,Eimear McBride,Esi Edugyan,Blake Morrison,Beejay Silcox,Sian Cain,Candice Carty Williams,Colum McCann,Sarah Bakewell,Jack Edwards,Valeria Luiselli,Laura Wilson,Parinoush Saniee,Catherine Taylor,Sara Collins,Marcel Theroux,Dorian Lynskey,Arifa Akbar
15	Moby-Dick	4204518-6	Q174596	2409320	Herman Melville	118580604	Q4985	1851	Tanjll Rashid,Alberto Manguel,Eimear McBride,Sam Leith,Chris Power,Chloe Aridjis,Sarah Churchwell,Anne Enright,Steven Poole,Rachel Kushner,Siri Hustvedt,Michael Chabon,Claire Armitstead,Yiyun Li,Stephen King,Stuart Kelly,Ben Okri,John Lanchester
14	Mrs Dalloway	4316776-7	Q752584	841320	Virginia Woolf	118635174	Q40909	1925	Sarah Moss,Sandra Newman,John Self,Kevin Power,Maya Jasanoff,Melissa Broder,Claire Messud,Samantha Harvey,Susanna Rustin,Houman Barekat,Lisa Allardice,Clare Clark,Aida Edemariam,Michael Donkor,Liese Spencer,Lily King,Lauren Elkin,Doireann Ní Ghríofa
13	Emma	4277660-0	Q223880	3360164	Jane Austen	118505173	Q36322	1815	Sarah Churchwell,Blake Morrison,John Mullan,Ian Patterson,William Boyd,Lorrie Moore,Claire Armitstead,Katherine Rundell,Jack Edwards,Laura Wilson,Ali Smith,Charlotte Higgins,Susanna Rustin,Clare Clark,Aida Edemariam,Liese Spencer,Emma Loffhagen,Naoise Dolan
12	Bleak House	4225150-3	Q883305	2960365	Charles Dickens	118525239	Q5686	1852-3	Jon Day,Jude Cook,Sarah Waters,Charlotte Mendelson,Olivia Laing,PD Smith,Lara Feigel,Siri Hustvedt,Adam Roberts,Kathryn Hughes,Maya Jasanoff,Lisa Tuttle,Xan Brooks,Charlotte Higgins,Susanna Rustin,Mark Haddon,David Nicholls,Ian Rankin,Naoise Dolan
11	The Great Gatsby	4316711-1	Q214371	245494	F Scott Fitzgerald	118533592	Q93354	1925	Amanda Craig,Sam Leith,Sarah Churchwell,Blake Morrison,Lucy Knight,Rachel Kushner,Amit Chaudhuri,Christobel Kent,Julie Myerson,Derek Owusu,Lisa Tuttle,Xan Brooks,Tahmima Anam,David Nicholls,Marcel Theroux,Clare Clark,Aida Edemariam,Charlotte Northedge,Emma Loffhagen,RF Kuang
10	Madame Bovary	4099183-0	Q193417	2766347	Gustave Flaubert	118533754	Q43444	1856	Freya Johnston,Kit de Waal,Juan Gabriel Vasquez,Yan Lianke,Anne Enright,John Mullan,Kevin Power,Melissa Broder,Elif Shafak,Rebecca Liu,Laura Wilson,Claire Messud,Tessa Hadley,Houman Barekat,Stephen King,Ian McEwan,Marcel Theroux,Clare Clark,Michael Donkor
9	Pride and Prejudice	4099118-0	Q170583	3060926	Jane Austen	118505173	Q36322	1710	Meg Rosoff,Yael van der Wouden,Esi Edugyan,Yan Lianke,Sarah Churchwell,Steven Poole,Lucy Knight,John Mullan,Siri Hustvedt,Michael Chabon,Kathryn Hughes,Ahdaf Soueif,Parinoush Saniee,Jennifer Egan,Sara Collins,Ian McEwan,Marcel Theroux,Ben Okri,Elizabeth Day,Lily King
8	Jane Eyre	4119812-8	Q182961	2977639	Charlotte Brontë	118638009	Q127332	1847	Maggie O’Farrell,Kit de Waal,Sarah Moss,Imogen Russell Williams,Fiona Sturges,Sarah Churchwell,Blake Morrison,Rachel Kushner,Elif Batuman,Katharine Viner,Lara Feigel,Claire Armitstead,Kathryn Hughes,Lisa Tuttle,Matt Haig,Sophie Mackintosh,Tessa Hadley,Susanna Rustin,Dinah Birch,Tahmima Anam,Doireann Ní Ghríofa
7	War and Peace	4099381-4	Q161531	4912783	Leo Tolstoy	11864291X	Q7243	1869	Chris Power,Yan Lianke,Andrew Solomon,Christobel Kent,Charlotte Mendelson,Lara Feigel,Daniel Kehlmann,Geoff Dyer,Claire Armitstead,Yiyun Li,Sarah Bakewell,Natasha Walter,Adam Thirlwell,Chigozie Obioma,Tessa Hadley,Marcel Theroux,Maaza Mengiste,Ben Okri,John Lanchester,Jem Calder
6	Anna Karenina	4137252-9	Q147787	2507928	Leo Tolstoy	11864291X	Q7243	1878	Freya Johnston,Amanda Craig,Eimear McBride,Juan Gabriel Vasquez,Rishi Dastidar,Melissa Harrison,Elif Batuman,John Mullan,Katharine Viner,Sarah Waters,Lara Feigel,Daniel Kehlmann,Maya Jasanoff,Maya Jaggi,Rebecca Liu,Ahdaf Soueif,Claire Messud,Sara Collins,Ian McEwan,Dinah Birch,Tahmima Anam,Diana Evans,Clare Clark,Arifa Akbar,Jo Hamya,Tom Crewe
5	In Search of Lost Time	4006834-1	Q464928		Marcel Proust	118596799	Q7199	1913-27	Eimear McBride,Salman Rushdie,Chris Power,Juan Gabriel Vasquez,Pratinav Anil,Yan Lianke,Chloe Aridjis,Anne Enright,Fiona Sampson,Steven Poole,Elif Batuman,Andrew Solomon,John Mullan,Ian Patterson,Olivia Laing,Daniel Kehlmann,William Boyd,Jacqueline Rose,Sarah Bakewell,Adam Thirlwell,Claire Messud,Colm Tóibín,Charlotte Higgins,Alex Clark,Ben Okri,John Lanchester,Lily King
4	To the Lighthouse	4204721-3	Q478016	1323448	Virginia Woolf	118635174	Q40909	1927	Merve Emre,Hermione Lee,Jon Day,Eimear McBride,Chris Power,Shahidha Bari,Juan Gabriel Vasquez,Fiona Sampson,Andrew Solomon,Julie Myerson,Lara Feigel,Siri Hustvedt,Yiyun Li,Natasha Walter,Jack Edwards,Sinéad Gleeson,Colm Tóibín,Catherine Taylor,Ben Markovits,Jennifer Egan,Kieran Goddard,Alex Clark,David Nicholls,Alexandra Harris,Lisa Allardice,Jo Hamya,Charlotte Northedge,Ella Creamer,Lily King,Saba Sams,Doireann Ní Ghríofa
3	Ulysses	4099246-9	Q6511	2368224	James Joyce	118558501	Q6882	1914	Maggie O’Farrell,Merve Emre,Jon Day,Alberto Manguel,Eimear McBride,Salman Rushdie,Chris Power,Yan Lianke,Blake Morrison,Melissa Harrison,Anne Enright,John Mullan,William Boyd,Siri Hustvedt,Claire Armitstead,Jacqueline Rose,Colum McCann,Jeet Thayil,Kevin Power,Elif Shafak,Sinéad Gleeson,Valeria Luiselli,Guy Gunaratne,Colm Tóibín,Charlotte Higgins,Justine Jordan,Kieran Goddard,Alex Clark,Houman Barekat,Stephen King,Ian McEwan,Stuart Kelly,Alexandra Harris,Ben Okri,James Meek,John Lanchester
2	Beloved	4301577-3	Q971767	736076	Toni Morrison	118911627	Q72334	1987	Merve Emre,Kit de Waal,Imogen Russell Williams,Salman Rushdie,Yael van der Wouden,Esi Edugyan,Fiona Sturges,Jude Cook,Nadifa Mohamed,Anne Enright,Jan Carson,Roxane Gay,Bernardine Evaristo,Katharine Viner,Julie Myerson,Siri Hustvedt,Adam Roberts,Candice Carty Williams,Yagnishsing Dawoor,Lorrie Moore,Jacqueline Rose,Douglas Stuart,Katherine Rundell,Natasha Walter,Rebecca Liu,Claire Messud,Uzma Aslam Khan,Ali Smith,Sophie Mackintosh,Justine Jordan,Susanna Rustin,Sara Collins,Tahmima Anam,Lisa Allardice,Arifa Akbar,Aida Edemariam,Charlotte Northedge,Ella Creamer,Liese Spencer,Damian Barr,Lily King,Lauren Elkin,Daisy Johnson
1	Middlemarch	4225595-8	Q313129	1461747	George Eliot	118529846	Q131333	1871	Freya Johnston,Merve Emre,Sarah Moss,Eimear McBride,Sam Leith,Sandra Newman,Chris Power,Esi Edugyan,Rishi Dastidar,Chloe Aridjis,Blake Morrison,Elif Batuman,Andrew Solomon,John Mullan,Charlotte Mendelson,Lara Feigel,Siri Hustvedt,Geoff Dyer,Adam Roberts,Lorrie Moore,Claire Armitstead,Yiyun Li,Sarah Bakewell,Katherine Rundell,Kathryn Hughes,Maya Jasanoff,Melissa Broder,Ahdaf Soueif,Richard Osman,Ben Markovits,Alex Needham,Tessa Hadley,Jennifer Egan,Xan Brooks,Charlotte Higgins,Justine Jordan,Kieran Goddard,Alex Clark,Houman Barekat,Ian McEwan,Stuart Kelly,Dinah Birch,Marcel Theroux,Sarah Crown,Lisa Allardice,Clare Clark,Aida Edemariam,James Meek,John Lanchester,Tom Crewe,Michael Donkor,Charlotte Northedge,Elizabeth Day,Jem Calder,Lily King,Lauren Elkin
